pignum,IgA
6,22.8674549
8,71.72740899
22,362.3781706
43,31.53216059
50,31.19851871
52,55.47461083
65,31.68045819
74,61.60566568
77,74.51532481
83,393.440111
87,32.85749297
26,13.67962999
93,12.44212712
97,28.4932949
119,128.3266286
122,59.58685614
126,85.85932588
138,33.36078563
141,35.03648053
144,56.41847138
152,16.6345652
160,104.7049883
175,8.055712045
178,429.8036211
181,42.41273606
191,33.90614683
198,17.27356598
211,46.15541484
219,213.304399
224,376.5321474
226,24.9096868
228,46.66519031
237,50.50939903
240,70.39183561
244,52.5284803
253,25.37730761
265,27.20846771
295,35.97785556
321,21.45566317
326,87.38921386
337,12.83611383
345,22.64247722
348,377.759347
355,17.9342914
361,125.7925198
373,239.464539
378,193.5965124
392,16.18171316
397,24.59225886
419,40.13473259
422,234.4794436
426,23.51559952
432,215.1358965
450,122.0927268
453,133.1694817
458,20.62382965
461,234.019823
469,286.080618
472,22.31495444
